Order ID,Quantity Ordered,Manufacturer Price,Sale Price,Total Profit (GMROI),CustomerKey,StateKey,OrderStatusKey,ReturnReasonKey,SaleAgentKey,ProductCatalogKey,DateKey
1001,16,1485,1880,395,1234,1,1,1,1,1,20221011
1010,19,435,522,87,1243,4,1,1,3,2,20221011
1023,18,155,179,24,1256,1,4,1,3,6,20221011
1028,3,880,1072,192,1261,6,2,1,3,5,20221011
1035,16,235,276,41,1268,4,3,2,4,4,20221011
1050,8,1375,1595,220,1283,6,1,1,3,4,20221011
1057,20,830,937,107,1290,2,3,2,3,3,20221011
1152,8,1185,1419,234,1385,4,1,1,2,7,20221011
1244,7,440,540,100,1477,2,1,1,5,1,20221011
1264,15,530,642,112,1497,2,2,1,5,4,20221011
1314,13,245,311,66,1547,4,3,2,3,5,20221011
1349,19,565,654,89,1582,1,1,1,3,6,20221011
1369,20,755,902,147,1602,5,2,1,5,3,20221011
1398,12,1100,1307,207,1630,5,1,1,5,7,20221011
1437,9,575,693,118,1669,2,2,1,2,4,20221011
1449,6,1215,1487,272,1681,2,3,5,3,3,20221011
1469,3,1350,1727,377,1701,4,1,1,1,4,20221011
1582,15,85,94,9,1814,3,1,1,3,4,20221011
1595,7,100,115,15,1827,3,1,1,2,3,20221011
1609,17,190,218,28,1841,3,2,1,3,5,20221011
1633,1,625,795,170,1865,1,4,1,4,2,20221011
1635,12,1025,1257,232,1867,6,1,1,4,1,20221011
1637,3,765,858,93,1869,4,1,1,5,3,20221011
1662,6,680,798,118,1894,3,3,6,1,6,20221011
1743,14,25,31,6,1975,5,2,1,1,6,20221011
1752,3,1185,1522,337,1984,1,2,1,5,6,20221011
1761,9,550,703,153,1993,6,2,1,4,1,20221011
1782,11,1200,1394,194,2014,2,2,1,5,7,20221011
1808,14,1060,1184,124,2040,4,1,1,5,4,20221011
1826,18,15,18,3,2058,4,1,1,1,5,20221011
1846,7,940,1146,206,2078,5,4,1,1,6,20221011
1882,8,510,609,99,2113,1,2,1,1,5,20221011
1884,12,440,486,46,2115,3,1,1,5,3,20221011
1900,16,660,751,91,2131,3,2,1,3,2,20221011
1921,2,295,343,48,2152,1,2,1,5,5,20221011
1955,14,750,860,110,2186,4,2,1,4,5,20221011
1966,18,550,659,109,2197,6,4,1,4,3,20221011
1002,11,1310,1602,292,1235,1,1,1,2,2,20221009
1065,14,970,1204,234,1298,2,2,1,4,6,20221009
1077,11,45,56,11,1310,2,2,1,1,2,20221009
1087,16,1195,1466,271,1320,1,2,1,3,7,20221009
1092,8,845,1086,241,1325,3,1,1,4,1,20221009
1136,1,145,176,31,1369,4,1,1,3,5,20221009
1187,9,60,74,14,1420,6,1,1,3,3,20221009
1238,2,155,177,22,1471,3,2,1,5,5,20221009
1252,19,175,211,36,1485,5,2,1,1,1,20221009
1296,1,300,353,53,1529,6,2,1,3,2,20221009
1300,18,240,286,46,1533,5,2,1,3,3,20221009
1388,2,1350,1488,138,1620,6,4,1,2,7,20221009
